Time,Temperature,Setpoint,Control_Signal
81.7,66.4594,85,100
81.8,66.3773,85,100
81.9,66.6597,85,100
82,66.5445,85,100
82.1,66.5194,85,100
82.2,66.9577,85,100
82.3,67.1606,85,100
82.4,66.9281,85,100
82.5,66.7363,85,100
82.6,67.1962,85,100
82.7,67.0152,85,100
82.8,66.7226,85,100
82.9,67.0682,85,100
83,67.2153,85,100
83.1,66.8233,85,100
83.2,67.1572,85,100
83.3,67.192,85,100
83.4,67.014,85,100
83.5,67.1851,85,100
83.6,67.1917,85,100
83.7,66.9193,85,100
83.8,66.9073,85,100
83.9,67.2299,85,100
84,67.3317,85,100
84.1,67.1616,85,100
84.2,67.1271,85,100
84.3,67.5303,85,100
84.4,67.3595,85,100
84.5,67.5239,85,100
84.6,67.6118,85,100
84.7,67.2536,85,100
84.8,67.8837,85,100
84.9,67.5562,85,100
85,67.2681,85,100
85.1,67.8644,85,100
85.2,67.7995,85,100
85.3,67.6845,85,100
85.4,67.5207,85,100
85.5,67.6227,85,100
85.6,67.4607,85,100
85.7,67.6865,85,100
85.8,67.9759,85,100
85.9,67.6505,85,100
86,68.0298,85,100
86.1,67.7888,85,100
86.2,67.478,85,100
86.3,67.9394,85,100
86.4,68.1008,85,100
86.5,67.7593,85,100
86.6,67.8987,85,100
86.7,67.7833,85,100
86.8,68.2554,85,100
86.9,68.1163,85,100
87,68.039,85,100
87.1,67.81,85,100
87.2,68.1217,85,100
87.3,68.1498,85,100
87.4,68.1878,85,100
87.5,67.9454,85,100
87.6,68.047,85,100
87.7,68.3085,85,100
87.8,68.2565,85,100
87.9,68.2859,85,100
88,67.9985,85,100
88.1,68.0241,85,100
88.2,68.1853,85,100
88.3,67.9792,85,100
88.4,67.8469,85,100
88.5,68.2376,85,100
88.6,68.2348,85,100
88.7,68.2093,85,100
88.8,68.2401,85,100
88.9,68.2779,85,100
89,68.2888,85,100
89.1,68.212,85,100
89.2,68.3037,85,100
89.3,68.278,85,100
89.4,68.5334,85,100
89.5,68.1418,85,100
89.6,68.2404,85,100
89.7,67.9875,85,100
89.8,68.3976,85,100
89.9,68.0818,85,100
90,68.2736,85,100
90.1,68.7276,85,100
90.2,68.523,85,100
90.3,68.7131,85,100
90.4,68.2043,85,100
90.5,68.3069,85,100
90.6,68.7002,85,100
90.7,68.9861,85,100
90.8,68.6751,85,100
90.9,68.8188,85,100
91,68.706,85,100
91.1,68.822,85,100
91.2,68.923,85,100
91.3,68.3618,85,100
91.4,68.688,85,100
91.5,68.7651,85,100
91.6,68.8792,85,100
91.7,68.6074,85,100
91.8,68.9443,85,100
91.9,68.677,85,100
92,68.7273,85,100
92.1,68.9283,85,100
92.2,68.7743,85,100
92.3,68.7821,85,100
92.4,68.6193,85,100
92.5,68.9538,85,100
92.6,68.9527,85,100
92.7,68.8586,85,100
92.8,69.2204,85,100
92.9,68.5685,85,100
93,68.9902,85,100
93.1,69.0408,85,100
93.2,69.0714,85,100
93.3,69.2864,85,100
93.4,68.8105,85,100
93.5,68.8413,85,100
93.6,68.9853,85,100
93.7,68.9441,85,100
93.8,68.9418,85,100
93.9,69.1681,85,100
94,68.7403,85,100
94.1,68.799,85,100
94.2,68.9634,85,100
94.3,69.0539,85,100
94.4,69.2859,85,100
94.5,68.7162,85,100
94.6,68.8762,85,100
94.7,69.2655,85,100
94.8,69.2031,85,100
94.9,69.064,85,100
95,68.9033,85,100
95.1,68.9301,85,100
95.2,69.3332,85,100
95.3,69.1771,85,100
95.4,69.3899,85,100
95.5,69.2702,85,100
95.6,68.9446,85,100
95.7,68.938,85,100
95.8,69.5789,85,100
95.9,69.2971,85,100
96,69.3992,85,100
96.1,68.6707,85,100
96.2,69.0927,85,100
96.3,68.9282,85,100
96.4,69.498,85,100
96.5,69.145,85,100
96.6,69.0517,85,100
96.7,69.3856,85,100
96.8,69.2528,85,100
96.9,69.4616,85,100
97,69.1468,85,100
97.1,69.6083,85,100
97.2,69.136,85,100
97.3,69.2525,85,100
97.4,69.2771,85,100
97.5,68.9485,85,100
97.6,69.256,85,100
97.7,69.5131,85,100
97.8,69.4039,85,100
97.9,69.4943,85,100
98,69.1393,85,100
98.1,69.2156,85,100
98.2,69.432,85,100
98.3,69.4751,85,100
98.4,69.5379,85,100
98.5,69.1854,85,100
98.6,69.2617,85,100
98.7,69.2546,85,100
98.8,69.2163,85,100
98.9,69.6108,85,100
99,69.5365,85,100
99.1,69.3761,85,100
99.2,69.7955,85,100
99.3,69.3004,85,100
99.4,69.1257,85,100
99.5,69.6955,85,100
99.6,69.1165,85,100
99.7,69.3431,85,100
99.8,69.2911,85,100
99.9,69.5713,85,100
